tweet,text,class
1229448571,"some count sheep, you count cats ",pos
1230261573,We haven't been to Turning Stone in ages! Have a great time ,pos
1228861415,What up ,pos
1228489365,I'm good ,pos
1229800235,"I know, wonder if USER is going to buy an apartment after he's bought the jets ",pos
1230646056,ok cool ,pos
1228964793,USER Facebook is down. It's not you guys ,pos
1230178894,Sorry I forgot my &lt;sarcasm&gt; tags. I find I need to use those a lot. ,pos
1228887834,Dude. Your stuff on mutiny.in kinda egged me on Hats off,pos
1229831457,"1st year of high school  (vmbo, pretty simple :p)",pos
1229562656,I have to agree with USER Design...I have Vista-the most hated of them all-and haven't had a freeze up in a year ,pos
1230682035,lining at the bottom of your bird cage is a good one  USER haha thats thats one thing that i really think CAN be generalised!! ;),pos
1230348047,"URL - ""Only buy for your Secret Santa."" ... Joyous fail ",pos
1230124417,i really miss her - I loved her videos/blogs. ,pos
1226407425,my husband has a deep and irrational fear of chiropractors.    My own gym sucks and has not massage facilities.,neg
1229692521,No... just heard abt it... still my product uses xml ,neg
1230241887,"good morning. I love fresh snow, all we have here is a lot of mud ",neg
1227663754,robin wants to ? but you dont ??  ,neg
1230617164,"went to the Luftwaffemuseum (German air force museum), but there was nobody there. 3 hours of wasted time ",neg
1229455192,- That sounds fantastic! ,pos
1229281704,Tell the weather guy up there to stop predicting snow.  That would help me   We will have to meet up USER when we settle!,pos
1228545290,glad you liked your special USER have been having thoughts about bottling the hot sauce. hmmm....glad you like it ,pos
1228577913,"Todd oh boy do we need some help with Aweber, do you work with other Non-Profits? Aweber is the way to go once I figure it out",pos
1228574801,"Home from Gatlinburg, Tenn. Today is my Mom's B-day, may she R.I.P.  Sure do miss her.",neg
1229740044,"have fun girlie!  can't wait to see ur pictures, hope you packed the camera this time ",pos
1228371162,4 hours till two days off. 3 more days of work till a week off. ,pos
1229131468,good how was it ,pos
1229816541,"Clever! Always thinking about the brand huh...?  J/K, that's good to see.",pos
1229977088,why yes. yes I believe someone did  I posted a twitpic tweet of it earlier,pos
1230599458,I am sitting in the chair to the left of the lamp. ,pos
1228834235,Officially addicted to peanut m&m's! And traci im addicted to them because i got two big bags of peanut m&m's for secret santa ,pos
1227104920,"Oh no, one of my friends is going though this right now. Her laptop & an old SLR camera body were stolen from her car! ",neg
1231263520,Mega chimping going on USER gymnastics. Not all by me. ,pos
1229485562," hope you feel better tomorrow...sucks to be sick to begin with, but having to go to work on top of that...double yuck!",neg
1230141684,i am Now i luv U cashmap ,pos
1230222423,IM EATING OLD CANDY  AND ITS GOOD.,pos
1229001631,Good idea! I don't see USER online much! I'll send him a msg ,pos
